BookingCode;BookingDate;FlightDate;FlightNumber;BookedSeats;RevenueActualFare;Ancillary Revenue,,
PNR7646;30.01.2023 00:00;07.04.2023;EW587;2;170;44,,
PNR7647;30.01.2023 00:00;10.04.2023;EW9579;2;175;146,,
PNR7648;30.01.2023 00:00;09.04.2023;EW9593;4;500;184,,
PNR7649;30.01.2023 00:00;07.04.2023;EW7580;1;185;37,,
PNR7649;30.01.2023 00:00;10.04.2023;EW7581;1;335;37,,
PNR7650;30.01.2023 00:00;08.04.2023;EW9582;1;95;42,,
PNR7651;30.01.2023 00:00;08.04.2023;EW9501;1;75;20,,
PNR7652;30.01.2023 00:00;08.04.2023;EW580;2;350;110,,
PNR7653;30.01.2023 00:00;12.04.2023;EW585;2;290;106,,
PNR7654;30.01.2023 00:00;08.04.2023;EW7591;6;1110;276,,
PNR7655;30.01.2023 00:00;08.04.2023;EW2589;2;190;82,,
PNR7656;30.01.2023 00:00;07.04.2023;EW587;1;18;10,,
PNR7657;30.01.2023 00:00;08.04.2023;EW7588;2;300;79,,
PNR7658;30.01.2023 00:00;08.04.2023;EW7591;3;555;174,,
PNR7659;30.01.2023 00:00;09.04.2023;EW9503;2;171;88,,
PNR7660;30.01.2023 00:00;07.04.2023;EW9591;2;150;110,,
PNR7661;30.01.2023 00:00;08.04.2023;EW9594;3;375;192,,
PNR7662;30.01.2023 00:00;06.04.2023;EW9575;3;120;123,,
PNR7663;30.01.2023 00:00;09.04.2023;EW586;2;190;82,,
PNR7664;30.01.2023 00:00;10.04.2023;EW9558;4;882;158,,
PNR7665;30.01.2023 00:00;11.04.2023;EW9543;2;580;116,,
PNR7666;30.01.2023 00:00;06.04.2023;EW9543;3;462;190,,
PNR7667;30.01.2023 00:00;09.04.2023;EW2263;1;240;60,,
PNR7668;30.01.2023 00:00;12.04.2023;EW268;2;290;88,,
PNR7669;30.01.2023 00:00;09.04.2023;EW7527;1;290;46,,
PNR7670;30.01.2023 00:00;09.04.2023;EW8371;2;490;88,,
PNR7671;30.01.2023 00:00;07.04.2023;EW253;3;410;209,,
PNR7672;30.01.2023 00:00;07.04.2023;EW8187;2;410;116,,
PNR7673;30.01.2023 00:00;09.04.2023;EW7267;2;580;116,,
PNR7674;30.01.2023 00:00;12.04.2023;EW7266;4;720;158,,
PNR7675;30.01.2023 00:00;08.04.2023;EW9548;2;490;88,,
PNR7676;30.01.2023 00:00;10.04.2023;EW9552;2;350;112,,
PNR7677;30.01.2023 00:00;08.04.2023;EW9535;2;240;33,,
PNR7678;30.01.2023 00:00;10.04.2023;EW7520;1;180;76,,
PNR7679;30.01.2023 00:00;06.04.2023;EW9442;1;170;24,,
PNR7679;30.01.2023 00:00;11.04.2023;EW9445;1;150;24,,
PNR7680;30.01.2023 00:00;11.04.2023;EW8537;4;666;147,,
PNR7681;30.01.2023 00:00;10.04.2023;EW2537;3;420;123,,
PNR7682;30.01.2023 00:00;09.04.2023;EW858;1;145;16,,
PNR7683;30.01.2023 00:00;12.04.2023;EW9538;2;198;90,,
PNR7684;30.01.2023 00:00;12.04.2023;EW9571;4;738;170,,
PNR7685;30.01.2023 00:00;08.04.2023;EW9537;1;170;41,,
PNR7686;30.01.2023 00:00;07.04.2023;EW9530;2;210;30,,
PNR7686;30.01.2023 00:00;11.04.2023;EW859;2;290;30,,
PNR7687;30.01.2023 00:00;06.04.2023;EW9537;1;110;42,,
PNR7688;30.01.2023 00:00;08.04.2023;EW9536;2;280;82,,
PNR7689;30.01.2023 00:00;06.04.2023;EW9518;2;260;78,,
PNR7689;30.01.2023 00:00;12.04.2023;EW9519;2;180;78,,
PNR7690;30.01.2023 00:00;07.04.2023;EW9518;2;300;78,,
PNR7691;30.01.2023 00:00;08.04.2023;EW9535;1;120;26,,
PNR7692;30.01.2023 00:00;10.04.2023;EW9536;5;506;188,,
PNR7693;30.01.2023 00:00;11.04.2023;EW9538;2;220;21,,
PNR7694;30.01.2023 00:00;10.04.2023;EW2537;1;140;20,,
PNR7695;30.01.2023 00:00;12.04.2023;EW2536;1;120;41,,
PNR7696;30.01.2023 00:00;10.04.2023;EW9519;2;260;94,,
PNR7697;30.01.2023 00:00;12.04.2023;EW9570;2;250;130,,
PNR7698;30.01.2023 00:00;09.04.2023;EW2530;3;364;156,,
PNR7699;30.01.2023 00:00;08.04.2023;EW9535;1;120;51,,
PNR7700;30.01.2023 00:00;06.04.2023;EW9536;1;170;41,,
PNR7701;30.01.2023 00:00;07.04.2023;EW2537;1;120;41,,
PNR7702;30.01.2023 00:00;10.04.2023;EW9440;2;300;78,,
PNR7703;30.01.2023 00:00;07.04.2023;EW9530;1;190;24,,
PNR7704;30.01.2023 00:00;12.04.2023;EW9539;1;150;20,,
PNR7705;30.01.2023 00:00;08.04.2023;EW7541;2;330;88,,
PNR7706;30.01.2023 00:00;06.04.2023;EW9537;1;110;44,,
PNR7706;30.01.2023 00:00;09.04.2023;EW9534;1;140;44,,
PNR7707;30.01.2023 00:00;07.04.2023;EW8536;3;560;114,,
PNR7708;30.01.2023 00:00;12.04.2023;EW9519;2;180;78,,
PNR7709;30.01.2023 00:00;09.04.2023;EW9571;4;740;240,,
PNR7710;30.01.2023 00:00;09.04.2023;EW8537;2;460;107,,
PNR7711;30.01.2023 00:00;08.04.2023;EW9530;2;260;114,,
PNR7712;30.01.2023 00:00;08.04.2023;EW9534;3;336;139,,
PNR7713;30.01.2023 00:00;12.04.2023;EW9442;2;160;76,,
PNR7714;30.01.2023 00:00;11.04.2023;EW2528;1;105;27,,
PNR7715;30.01.2023 00:00;06.04.2023;EW7536;2;420;86,,
PNR7716;30.01.2023 00:00;06.04.2023;EW9536;1;170;10,,
PNR7717;30.01.2023 00:00;09.04.2023;EW597;3;315;66,,
PNR7718;30.01.2023 00:00;09.04.2023;EW9594;2;130;52,,
PNR7719;30.01.2023 00:00;07.04.2023;EW589;2;130;82,,
PNR7720;30.01.2023 00:00;10.04.2023;EW7581;1;335;36,,
PNR7721;30.01.2023 00:00;09.04.2023;EW9501;1;75;24,,
PNR7722;30.01.2023 00:00;08.04.2023;EW2580;4;378;92,,
PNR7723;30.01.2023 00:00;08.04.2023;EW585;3;225;78,,
PNR7724;30.01.2023 00:00;08.04.2023;EW9501;1;85;24,,
PNR7725;30.01.2023 00:00;08.04.2023;EW9501;1;75;25,,
PNR7726;30.01.2023 00:00;10.04.2023;EW9589;3;435;97,,
PNR7727;30.01.2023 00:00;07.04.2023;EW2592;1;200;40,,
PNR7728;30.01.2023 00:00;10.04.2023;EW7580;3;330;27,,
PNR7729;30.01.2023 00:00;07.04.2023;EW7532;4;1332;158,,
PNR7730;30.01.2023 00:00;11.04.2023;EW7521;2;259;100,,
PNR7731;30.01.2023 00:00;06.04.2023;EW7520;5;1075;124,,
PNR7731;30.01.2023 00:00;10.04.2023;EW7521;5;1000;104,,
PNR7732;30.01.2023 00:00;12.04.2023;EW9519;2;142;39,,
PNR7733;30.01.2023 00:00;07.04.2023;EW9442;3;450;50,,
PNR7733;30.01.2023 00:00;11.04.2023;EW9443;3;450;50,,
PNR7734;30.01.2023 00:00;08.04.2023;EW7530;1;145;24,,
PNR7735;30.01.2023 00:00;06.04.2023;EW9519;2;190;25,,
PNR7736;30.01.2023 00:00;06.04.2023;EW7521;1;180;47,,
PNR7737;30.01.2023 00:00;07.04.2023;EW2531;4;520;116,,
PNR7738;30.01.2023 00:00;11.04.2023;EW9444;4;600;76,,
PNR7739;30.01.2023 00:00;06.04.2023;EW7521;3;540;71,,
PNR7740;30.01.2023 00:00;06.04.2023;EW9592;1;125;26,,
PNR7740;30.01.2023 00:00;11.04.2023;EW9591;1;175;26,,
PNR7741;30.01.2023 00:00;07.04.2023;EW9530;1;190;57,,
PNR7742;30.01.2023 00:00;09.04.2023;EW9533;1;170;56,,
PNR7743;30.01.2023 00:00;12.04.2023;EW9551;1;95;38,,
PNR7744;31.01.2023 00:00;11.04.2023;EW9444;1;193;43,,
PNR7745;31.01.2023 00:00;11.04.2023;EW9444;1;213;93,,
PNR7745;31.01.2023 00:00;12.04.2023;EW527;1;253;93,,
PNR7746;31.01.2023 00:00;06.04.2023;EW7587;2;220;131,,
PNR7747;31.01.2023 00:00;07.04.2023;EW9591;2;170;82,,
PNR7748;31.01.2023 00:00;07.04.2023;EW9500;2;360;80,,
PNR7749;31.01.2023 00:00;12.04.2023;EW9551;2;300;96,,
PNR7750;31.01.2023 00:00;11.04.2023;EW6898;3;315;56,,
PNR7751;31.01.2023 00:00;08.04.2023;EW7587;1;185;83,,
PNR7752;31.01.2023 00:00;07.04.2023;EW9575;2;150;82,,
PNR7753;31.01.2023 00:00;06.04.2023;EW9593;2;40;151,,
PNR7754;31.01.2023 00:00;07.04.2023;EW9575;1;75;42,,
PNR7755;31.01.2023 00:00;09.04.2023;EW6892;2;500;89,,
PNR7756;31.01.2023 00:00;08.04.2023;EW9593;2;190;22,,
PNR7757;31.01.2023 00:00;11.04.2023;EW9581;2;290;165,,
PNR7758;31.01.2023 00:00;08.04.2023;EW2589;3;273;157,,
PNR7759;31.01.2023 00:00;07.04.2023;EW2592;2;400;108,,
PNR7759;31.01.2023 00:00;12.04.2023;EW2581;2;250;110,,
PNR7760;31.01.2023 00:00;08.04.2023;EW7587;2;370;52,,
PNR7761;31.01.2023 00:00;09.04.2023;EW9593;3;325;90,,
PNR7762;31.01.2023 00:00;07.04.2023;EW7587;1;150;42,,
PNR7763;31.01.2023 00:00;12.04.2023;EW583;2;290;82,,
PNR7764;31.01.2023 00:00;12.04.2023;EW9579;1;175;25,,
PNR7765;31.01.2023 00:00;08.04.2023;EW9586;1;75;42,,
PNR7766;31.01.2023 00:00;09.04.2023;EW9500;3;285;242,,
PNR7767;31.01.2023 00:00;11.04.2023;EW7584;1;150;40,,
PNR7768;31.01.2023 00:00;06.04.2023;EW9586;1;125;14,,
PNR7768;31.01.2023 00:00;11.04.2023;EW9589;1;145;14,,
PNR7769;31.01.2023 00:00;11.04.2023;EW7591;2;370;25,,
PNR7770;31.01.2023 00:00;09.04.2023;EW9575;1;105;42,,
PNR7771;31.01.2023 00:00;08.04.2023;EW9593;4;342;87,,
PNR7772;31.01.2023 00:00;11.04.2023;EW2597;1;145;63,,
PNR7773;31.01.2023 00:00;10.04.2023;EW599;3;406;123,,
PNR7774;31.01.2023 00:00;06.04.2023;EW7589;1;100;20,,
PNR7775;31.01.2023 00:00;11.04.2023;EW9580;2;130;110,,
PNR7776;31.01.2023 00:00;09.04.2023;EW585;3;325;210,,
PNR7777;31.01.2023 00:00;07.04.2023;EW9575;2;150;82,,
PNR7778;31.01.2023 00:00;12.04.2023;EW7580;2;150;121,,
PNR7779;31.01.2023 00:00;09.04.2023;EW9500;5;374;74,,
PNR7779;31.01.2023 00:00;12.04.2023;EW9551;5;660;72,,
PNR7780;31.01.2023 00:00;12.04.2023;EW2594;2;113;47,,
PNR7781;31.01.2023 00:00;09.04.2023;EW9501;2;190;36,,
PNR7782;31.01.2023 00:00;06.04.2023;EW9593;2;40;156,,
PNR7783;31.01.2023 00:00;06.04.2023;EW596;3;435;167,,
PNR7783;31.01.2023 00:00;10.04.2023;EW599;3;435;165,,
PNR7784;31.01.2023 00:00;11.04.2023;EW7587;4;860;216,,
PNR7785;31.01.2023 00:00;11.04.2023;EW7584;1;150;39,,
PNR7786;31.01.2023 00:00;09.04.2023;EW7581;1;78;33,,
PNR7787;31.01.2023 00:00;07.04.2023;EW9500;2;360;80,,
PNR7788;31.01.2023 00:00;09.04.2023;EW9581;3;375;132,,
PNR7789;31.01.2023 00:00;08.04.2023;EW9582;4;399;175,,
PNR7790;31.01.2023 00:00;12.04.2023;EW581;5;696;221,,
PNR7791;31.01.2023 00:00;08.04.2023;EW2589;1;105;55,,
PNR7792;31.01.2023 00:00;08.04.2023;EW7585;1;150;42,,
PNR7793;31.01.2023 00:00;06.04.2023;EW596;1;145;43,,
PNR7794;31.01.2023 00:00;08.04.2023;EW597;1;145;56,,
PNR7795;31.01.2023 00:00;08.04.2023;EW7591;2;370;82,,
PNR7796;31.01.2023 00:00;07.04.2023;EW9579;1;65;26,,
PNR7797;31.01.2023 00:00;07.04.2023;EW7590;1;185;41,,
PNR7798;31.01.2023 00:00;07.04.2023;EW2594;2;300;76,,
PNR7799;31.01.2023 00:00;06.04.2023;EW7581;2;220;19,,
PNR7800;31.01.2023 00:00;10.04.2023;EW7266;2;490;114,,
PNR7801;31.01.2023 00:00;06.04.2023;EW7533;2;666;79,,
PNR7802;31.01.2023 00:00;09.04.2023;EW8371;1;245;35,,
PNR7803;31.01.2023 00:00;06.04.2023;EW242;1;225;172,,
PNR7804;31.01.2023 00:00;11.04.2023;EW7532;2;520;88,,
PNR7805;31.01.2023 00:00;08.04.2023;EW2931;2;350;88,,
PNR7806;31.01.2023 00:00;11.04.2023;EW260;3;325;67,,
PNR7807;31.01.2023 00:00;07.04.2023;EW7532;2;666;79,,
PNR7808;31.01.2023 00:00;06.04.2023;EW9543;1;165;16,,
PNR7809;31.01.2023 00:00;08.04.2023;EW9558;2;660;116,,
PNR7810;31.01.2023 00:00;06.04.2023;EW7533;1;370;16,,
PNR7811;31.01.2023 00:00;11.04.2023;EW260;2;250;116,,
PNR7812;31.01.2023 00:00;11.04.2023;EW8370;2;190;114,,
PNR7813;31.01.2023 00:00;09.04.2023;EW7537;1;250;56,,
PNR7814;31.01.2023 00:00;07.04.2023;EW2521;3;375;63,,
PNR7815;31.01.2023 00:00;09.04.2023;EW858;2;170;30,,
PNR7816;31.01.2023 00:00;06.04.2023;EW9539;2;220;67,,
PNR7817;31.01.2023 00:00;09.04.2023;EW9570;3;435;64,,
PNR7818;31.01.2023 00:00;11.04.2023;EW9537;5;984;221,,
PNR7819;31.01.2023 00:00;06.04.2023;EW9539;1;109;40,,
PNR7820;31.01.2023 00:00;09.04.2023;EW9442;2;260;78,,
PNR7821;31.01.2023 00:00;10.04.2023;EW9441;3;510;86,,
PNR7822;31.01.2023 00:00;10.04.2023;EW9443;2;430;48,,
PNR7823;31.01.2023 00:00;10.04.2023;EW2531;2;380;34,,
PNR7824;31.01.2023 00:00;11.04.2023;EW7520;1;180;9,,
PNR7825;31.01.2023 00:00;07.04.2023;EW8537;4;396;147,,
PNR7826;31.01.2023 00:00;10.04.2023;EW9442;2;270;21,,
PNR7827;31.01.2023 00:00;07.04.2023;EW9535;1;170;41,,
PNR7828;31.01.2023 00:00;11.04.2023;EW9537;1;205;41,,
PNR7829;31.01.2023 00:00;12.04.2023;EW2536;2;240;82,,
PNR7830;31.01.2023 00:00;07.04.2023;EW2536;4;1458;107,,
PNR7831;31.01.2023 00:00;07.04.2023;EW2517;2;160;18,,
PNR7832;31.01.2023 00:00;07.04.2023;EW7521;2;430;80,,
PNR7833;31.01.2023 00:00;08.04.2023;EW9441;1;110;37,,
PNR7834;31.01.2023 00:00;12.04.2023;EW9531;4;461;56,,
PNR7835;31.01.2023 00:00;09.04.2023;EW858;4;340;196,,
PNR7836;31.01.2023 00:00;11.04.2023;EW7520;1;180;40,,
PNR7837;31.01.2023 00:00;07.04.2023;EW2517;1;80;39,,
PNR7838;31.01.2023 00:00;12.04.2023;EW2530;2;260;42,,
PNR7839;31.01.2023 00:00;10.04.2023;EW2537;1;245;41,,
PNR7840;31.01.2023 00:00;08.04.2023;EW535;1;145;41,,
PNR7841;31.01.2023 00:00;08.04.2023;EW9441;1;110;40,,
PNR7842;31.01.2023 00:00;07.04.2023;EW9535;3;510;156,,
PNR7843;31.01.2023 00:00;08.04.2023;EW535;2;370;82,,
PNR7844;31.01.2023 00:00;10.04.2023;EW9538;4;540;51,,
PNR7845;31.01.2023 00:00;12.04.2023;EW2531;3;420;109,,
PNR7846;31.01.2023 00:00;12.04.2023;EW9538;2;198;70,,
PNR7847;31.01.2023 00:00;11.04.2023;EW9536;2;220;72,,
PNR7848;31.01.2023 00:00;09.04.2023;EW9535;2;410;66,,
PNR7849;31.01.2023 00:00;10.04.2023;EW9535;2;490;86,,
PNR7850;31.01.2023 00:00;09.04.2023;EW9575;2;210;26,,
PNR7851;31.01.2023 00:00;06.04.2023;EW2544;2;360;24,,
PNR7851;31.01.2023 00:00;10.04.2023;EW2595;2;150;60,,
PNR7852;31.01.2023 00:00;09.04.2023;EW585;3;375;71,,
PNR7853;31.01.2023 00:00;10.04.2023;EW599;1;145;15,,
PNR7854;31.01.2023 00:00;07.04.2023;EW590;2;315;70,,
PNR7854;31.01.2023 00:00;10.04.2023;EW581;2;378;100,,
PNR7855;31.01.2023 00:00;12.04.2023;EW9551;2;300;42,,
PNR7856;31.01.2023 00:00;10.04.2023;EW599;1;145;26,,
PNR7857;31.01.2023 00:00;12.04.2023;EW6892;1;145;26,,
PNR7858;31.01.2023 00:00;10.04.2023;EW9595;4;665;44,,
PNR7859;31.01.2023 00:00;09.04.2023;EW9575;2;210;52,,
PNR7860;31.01.2023 00:00;08.04.2023;EW9501;1;85;24,,
PNR7861;31.01.2023 00:00;06.04.2023;EW9592;2;250;15,,
PNR7862;31.01.2023 00:00;09.04.2023;EW7514;2;260;137,,
PNR7863;31.01.2023 00:00;09.04.2023;EW9575;2;210;26,,
PNR7864;31.01.2023 00:00;08.04.2023;EW9552;4;882;168,,
PNR7865;31.01.2023 00:00;06.04.2023;EW255;2;410;100,,
PNR7866;31.01.2023 00:00;07.04.2023;EW9558;3;870;26,,
PNR7867;31.01.2023 00:00;07.04.2023;EW8537;2;220;47,,
PNR7868;31.01.2023 00:00;11.04.2023;EW8537;2;370;26,,
PNR7869;31.01.2023 00:00;07.04.2023;EW2520;5;875;120,,
PNR7869;31.01.2023 00:00;11.04.2023;EW2521;5;625;120,,
PNR7870;31.01.2023 00:00;07.04.2023;EW9445;2;260;50,,
PNR7871;31.01.2023 00:00;11.04.2023;EW2528;1;105;85,,
PNR7872;31.01.2023 00:00;06.04.2023;EW9539;1;110;15,,
PNR7872;31.01.2023 00:00;10.04.2023;EW9538;1;150;15,,
PNR7873;31.01.2023 00:00;06.04.2023;EW2529;4;285;30,,
PNR7873;31.01.2023 00:00;10.04.2023;EW2520;4;475;30,,
PNR7874;31.01.2023 00:00;07.04.2023;EW9443;3;390;45,,
PNR7875;31.01.2023 00:00;07.04.2023;EW9530;1;192;12,,
PNR7876;31.01.2023 00:00;12.04.2023;EW9443;3;390;114,,
PNR7877;01.02.2023 00:00;12.04.2023;EW9584;1;96;41,,
PNR7878;01.02.2023 00:00;06.04.2023;EW2593;1;85;15,,
PNR7879;01.02.2023 00:00;09.04.2023;EW587;2;420;74,,
PNR7880;01.02.2023 00:00;06.04.2023;EW596;1;145;22,,
PNR7881;01.02.2023 00:00;08.04.2023;EW9592;1;95;22,,
PNR7882;01.02.2023 00:00;09.04.2023;EW9579;2;290;29,,
PNR7883;01.02.2023 00:00;06.04.2023;EW9592;1;145;22,,
PNR7884;01.02.2023 00:00;07.04.2023;EW7590;2;370;42,,
PNR7884;01.02.2023 00:00;10.04.2023;EW7581;2;670;42,,
PNR7885;01.02.2023 00:00;10.04.2023;EW9592;1;55;92,,
PNR7886;01.02.2023 00:00;07.04.2023;EW580;1;125;15,,
PNR7886;01.02.2023 00:00;10.04.2023;EW599;1;145;15,,
PNR7887;01.02.2023 00:00;12.04.2023;EW7588;1;110;42,,
PNR7888;01.02.2023 00:00;11.04.2023;EW9581;3;435;132,,
PNR7889;01.02.2023 00:00;06.04.2023;EW7592;1;415;75,,
PNR7889;01.02.2023 00:00;11.04.2023;EW7587;1;415;75,,
PNR7890;01.02.2023 00:00;07.04.2023;EW2592;1;200;42,,
PNR7890;01.02.2023 00:00;10.04.2023;EW2581;1;165;42,,
PNR7891;01.02.2023 00:00;08.04.2023;EW8592;2;420;212,,
PNR7892;01.02.2023 00:00;07.04.2023;EW7583;1;110;25,,
PNR7893;01.02.2023 00:00;06.04.2023;EW9578;2;290;110,,
PNR7894;01.02.2023 00:00;08.04.2023;EW9592;1;95;80,,
PNR7895;01.02.2023 00:00;08.04.2023;EW9593;3;266;122,,
PNR7896;01.02.2023 00:00;08.04.2023;EW590;1;175;58,,
PNR7897;01.02.2023 00:00;06.04.2023;EW9575;3;120;31,,
PNR7898;01.02.2023 00:00;12.04.2023;EW7515;1;130;37,,
PNR7899;01.02.2023 00:00;06.04.2023;EW9501;1;65;87,,
PNR7900;01.02.2023 00:00;10.04.2023;EW582;4;285;102,,
PNR7901;01.02.2023 00:00;12.04.2023;EW2589;2;250;22,,
PNR7902;01.02.2023 00:00;12.04.2023;EW2596;2;170;104,,
PNR7903;01.02.2023 00:00;12.04.2023;EW7589;1;150;55,,
PNR7904;01.02.2023 00:00;12.04.2023;EW9595;1;175;36,,
PNR7905;01.02.2023 00:00;12.04.2023;EW7590;1;110;15,,
PNR7906;01.02.2023 00:00;07.04.2023;EW2592;3;600;168,,
PNR7906;01.02.2023 00:00;11.04.2023;EW2597;3;435;168,,
PNR7907;01.02.2023 00:00;10.04.2023;EW580;3;195;98,,
PNR7908;01.02.2023 00:00;07.04.2023;EW9580;3;290;193,,
PNR7908;01.02.2023 00:00;10.04.2023;EW9579;3;350;521,,
PNR7909;01.02.2023 00:00;07.04.2023;EW9594;1;145;34,,
PNR7910;01.02.2023 00:00;10.04.2023;EW593;2;350;102,,
PNR7911;01.02.2023 00:00;08.04.2023;EW9593;1;95;42,,
PNR7912;01.02.2023 00:00;09.04.2023;EW8590;3;350;148,,
PNR7913;01.02.2023 00:00;10.04.2023;EW599;4;551;186,,
PNR7914;01.02.2023 00:00;12.04.2023;EW9551;2;300;78,,
PNR7915;01.02.2023 00:00;12.04.2023;EW2595;1;85;35,,
PNR7916;01.02.2023 00:00;08.04.2023;EW9595;2;290;110,,
PNR7917;01.02.2023 00:00;07.04.2023;EW9589;1;55;22,,
PNR7917;01.02.2023 00:00;10.04.2023;EW9590;1;55;22,,
PNR7918;01.02.2023 00:00;08.04.2023;EW9588;2;210;82,,
PNR7919;01.02.2023 00:00;12.04.2023;EW2594;1;75;39,,
PNR7920;01.02.2023 00:00;08.04.2023;EW9588;2;210;82,,
PNR7921;01.02.2023 00:00;08.04.2023;EW580;2;350;82,,
PNR7922;01.02.2023 00:00;08.04.2023;EW2589;1;105;42,,
PNR7923;01.02.2023 00:00;12.04.2023;EW7591;2;220;106,,
PNR7924;01.02.2023 00:00;09.04.2023;EW9593;1;105;42,,
PNR7925;01.02.2023 00:00;06.04.2023;EW7592;4;1340;184,,
PNR7925;01.02.2023 00:00;11.04.2023;EW7587;4;860;236,,
PNR7926;01.02.2023 00:00;07.04.2023;EW9594;1;145;34,,
PNR7927;01.02.2023 00:00;11.04.2023;EW9574;1;65;27,,
PNR7928;01.02.2023 00:00;07.04.2023;EW8591;2;350;102,,
PNR7929;01.02.2023 00:00;08.04.2023;EW7585;2;270;73,,
PNR7930;01.02.2023 00:00;06.04.2023;EW9574;3;435;219,,
PNR7930;01.02.2023 00:00;12.04.2023;EW9595;3;435;217,,
PNR7931;01.02.2023 00:00;09.04.2023;EW2583;2;330;82,,
PNR7932;01.02.2023 00:00;12.04.2023;EW7589;3;450;64,,
PNR7933;01.02.2023 00:00;08.04.2023;EW2589;2;189;34,,
PNR7934;01.02.2023 00:00;08.04.2023;EW9501;3;308;182,,
PNR7935;01.02.2023 00:00;10.04.2023;EW9595;2;175;156,,
PNR7936;01.02.2023 00:00;07.04.2023;EW9588;1;145;72,,
PNR7936;01.02.2023 00:00;09.04.2023;EW9587;1;125;22,,
PNR7937;01.02.2023 00:00;10.04.2023;EW599;1;145;26,,
PNR7938;01.02.2023 00:00;11.04.2023;EW581;2;290;82,,
PNR7939;01.02.2023 00:00;09.04.2023;EW9580;2;130;28,,
PNR7940;01.02.2023 00:00;06.04.2023;EW7589;1;100;26,,
PNR7941;01.02.2023 00:00;09.04.2023;EW580;2;80;91,,
PNR7942;01.02.2023 00:00;07.04.2023;EW7533;4;969;22,,
PNR7943;01.02.2023 00:00;08.04.2023;EW7527;1;330;56,,
PNR7944;01.02.2023 00:00;10.04.2023;EW243;2;450;201,,
PNR7945;01.02.2023 00:00;11.04.2023;EW8370;2;290;33,,
PNR7946;01.02.2023 00:00;07.04.2023;EW9553;1;290;63,,
PNR7947;01.02.2023 00:00;08.04.2023;EW7526;3;1110;135,,
PNR7948;01.02.2023 00:00;09.04.2023;EW9542;1;165;58,,
PNR7949;01.02.2023 00:00;08.04.2023;EW7527;3;990;202,,
PNR7950;01.02.2023 00:00;06.04.2023;EW7526;1;175;51,,
PNR7951;01.02.2023 00:00;07.04.2023;EW9559;2;330;88,,
PNR7952;01.02.2023 00:00;08.04.2023;EW9535;2;240;82,,
PNR7953;01.02.2023 00:00;08.04.2023;EW9536;1;140;41,,
PNR7954;01.02.2023 00:00;09.04.2023;EW526;1;105;18,,
PNR7955;01.02.2023 00:00;12.04.2023;EW9443;1;130;24,,
PNR7956;01.02.2023 00:00;10.04.2023;EW9531;1;112;44,,
PNR7957;01.02.2023 00:00;06.04.2023;EW9518;2;234;70,,
PNR7957;01.02.2023 00:00;12.04.2023;EW9519;2;180;70,,
PNR7958;01.02.2023 00:00;08.04.2023;EW527;6;841;244,,
PNR7959;01.02.2023 00:00;07.04.2023;EW8536;3;600;123,,
PNR7960;01.02.2023 00:00;08.04.2023;EW9536;1;140;11,,
PNR7961;01.02.2023 00:00;08.04.2023;EW9535;1;120;12,,
PNR7962;01.02.2023 00:00;11.04.2023;EW2529;3;315;109,,
PNR7963;01.02.2023 00:00;07.04.2023;EW8536;1;230;41,,
PNR7964;01.02.2023 00:00;06.04.2023;EW527;1;105;32,,
PNR7965;01.02.2023 00:00;12.04.2023;EW9534;2;200;118,,
PNR7966;01.02.2023 00:00;11.04.2023;EW9538;2;220;33,,
PNR7967;01.02.2023 00:00;12.04.2023;EW2531;1;150;39,,
PNR7968;01.02.2023 00:00;06.04.2023;EW527;1;125;32,,
PNR7969;01.02.2023 00:00;09.04.2023;EW7520;4;684;152,,
PNR7970;01.02.2023 00:00;10.04.2023;EW7520;4;720;84,,
PNR7971;01.02.2023 00:00;09.04.2023;EW526;1;105;46,,
PNR7972;01.02.2023 00:00;07.04.2023;EW9518;1;180;49,,
PNR7972;01.02.2023 00:00;10.04.2023;EW9519;1;180;49,,
PNR7973;01.02.2023 00:00;07.04.2023;EW7521;2;430;96,,
PNR7974;01.02.2023 00:00;11.04.2023;EW7531;1;190;40,,
PNR7975;01.02.2023 00:00;11.04.2023;EW7541;1;165;26,,
PNR7976;01.02.2023 00:00;07.04.2023;EW2536;2;490;82,,
PNR7977;01.02.2023 00:00;07.04.2023;EW2536;2;490;82,,
PNR7978;01.02.2023 00:00;06.04.2023;EW9444;3;645;150,,
PNR7978;01.02.2023 00:00;09.04.2023;EW9445;3;510;153,,
PNR7979;01.02.2023 00:00;07.04.2023;EW9442;3;420;133,,
PNR7980;01.02.2023 00:00;07.04.2023;EW9539;4;418;30,,
PNR7981;01.02.2023 00:00;06.04.2023;EW527;1;125;32,,
PNR7982;01.02.2023 00:00;10.04.2023;EW2536;2;340;34,,
PNR7983;01.02.2023 00:00;12.04.2023;EW9538;1;110;64,,
PNR7984;01.02.2023 00:00;06.04.2023;EW535;1;105;53,,
PNR7985;01.02.2023 00:00;12.04.2023;EW9443;1;365;49,,
PNR7986;01.02.2023 00:00;07.04.2023;EW9535;3;510;156,,
PNR7987;01.02.2023 00:00;12.04.2023;EW2530;1;80;26,,
PNR7988;01.02.2023 00:00;10.04.2023;EW2531;2;380;78,,
PNR7989;01.02.2023 00:00;07.04.2023;EW9518;1;180;39,,
PNR7990;01.02.2023 00:00;06.04.2023;EW7521;2;360;76,,
PNR7990;01.02.2023 00:00;10.04.2023;EW7520;2;360;76,,
PNR7991;01.02.2023 00:00;06.04.2023;EW7536;1;210;43,,
